, ab2B, ab3B, ab4B, ab5B, ac1a, ac1b, ac2a, ac2b, ac3a, ac4, Gr21a, Or10a, Or13a, Or19a, Or1a, Or22a, Or22b, Or22c, Or23a, Or24a, Or2a, Or30a, Or33a, Or33b, Or33c, Or35a, Or42a, Or42b, Or43a, Or43b, Or45a, Or45b, Or46a, Or47a, Or47b, Or49a, Or49b, Or56a, Or59a, Or59b, Or59c, Or63a, Or65a, Or67a, Or67b, Or67c, Or67d, Or69a, Or71a, Or74a, Or7a, Or82a, Or83a, Or83c, Or85a, Or85b, Or85c, Or85d, Or85e, Or85f, Or88a, Or92a, Or94a, Or94b, Or98a, Or9a, pb2A
smile not available - CAS: 7732-18-5, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0248784137673, nan, nan, nan, nan, nan, nan, 0.0434836384649, 0.0170594837262, nan, nan, nan, 0.0941086495108, nan, nan, nan, 0.255088858156, 0.0276698491092, nan, nan, nan, 0.011094587964, nan, nan, nan, nan, nan, nan, nan, nan, 0.140758665354, nan, nan, nan, nan, 0.249077463653, nan, nan, nan, nan, nan, nan, 0.101581183044, nan, nan, nan, nan, nan, 0.199640834011, 0.0403470975219, nan, nan, nan
smile not available - CAS: 1336-21-6, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.068235849373, nan, 0.122832610464, nan, 0.0161165448394, nan, nan, 0.0153485782709, nan, 0.0349055984631, nan, nan, 0.00812871396294, nan, 0.0804278691108, nan, nan, 0.0863888651482, 0.0503305697427, nan, nan, nan, 0.0849956456096, 0.15892443129, nan, 0.0168027852766, nan, nan, 0.0283253096177, nan, nan, 0.0679089345494, 0.0484181268697, nan, 0.0415341076164, nan, nan, nan, nan, 0.0851335233356, 0.0201123973007, nan, nan, 0.0316325980099, 0.0602303674496, nan, nan, nan, 0.0826170808106, 0.059206484798, nan, nan, nan, 0.104998408107, 0.183583887643, nan
NCCCCN, 0.00901742886361, 0.0723859093878, nan, 0.144466610099, 0.0, 0.113308749581, 0.936305732484, 0.0443090556633, 0.0092862670397, 0.0817001469868, nan, 0.0244917133276, 0.0973500867359, 0.0996566462252, nan, 0.036819164889, nan, nan, 0.0153485782709, nan, 0.0420954874117, nan, nan, 0.0145511052838, nan, 0.170277497074, nan, 0.347851447715, 0.0311371900451, 0.0444886156078, nan, nan, nan, 0.00465244386721, 0.0853856766752, nan, 0.018629641731, nan, nan, 0.0138981495289, nan, nan, 0.0512101056012, 0.011173413893, nan, 0.0448142175836, nan, nan, nan, nan, 0.0377281891304, 0.0284936895533, nan, nan, 0.0199784829536, 0.102267465034, nan, nan, nan, 0.0597623502007, 0.0461026196473, 0.02328988771, nan, nan, 0.101718889679, 0.163892698285, nan
NCCCCCN, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0235191346535, nan, 0.108927031921, nan, 0.0161165448394, nan, nan, 0.0043853080774, nan, 0.030253140383, nan, nan, 0.01068668186, nan, 0.120046941056, nan, nan, 0.0467057850677, 0.0787157668155, nan, nan, nan, 0.00667518809537, 0.125880755158, nan, 0.00994675569028, nan, nan, 0.0333541215891, nan, nan, 0.0546298594607, 0.00372447129767, nan, 0.0468818181722, nan, nan, nan, nan, 0.0, 0.0122112448223, nan, nan, 0.0233082301126, 0.11852633095, nan, nan, nan, 0.0801548183597, 0.059206484798, nan, nan, nan, 0.0953976981603, 0.147255033507, nan
N, 0.00901742886361, 0.120498425897, 0.0, 0.0880020941202, 0.566878980892, 0.104592691921, 0.0439875176335, 0.0324933074864, 0.0309542234657, 0.142087212151, 0.235412075975, 0.0629663378663, 0.0671545449175, nan, nan, 0.101871260791, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.197410251661, nan, 0.111552901986, nan, nan, nan, nan, nan, nan, nan, nan, 0.0322005512154, nan, nan, 0.0122977950245, nan, nan, nan, nan, nan, 0.0682282397525, nan, nan, nan, nan, 0.179288500251, 0.0630494509069, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.02328988771, nan, nan, 0.109110821015, nan, nan
NCCO, 0.0350303401329, 0.0653406274872, 0.0, 0.111575511031, nan, nan, nan, nan, nan, nan, nan, 0.0356384659156, 0.0764454808616, nan, nan, 0.133375934352, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.111552901986, nan, nan, nan, nan, nan, nan, nan, nan, 0.0322005512154, nan, nan, 0.0144962872489, nan, nan, nan, nan, nan, 0.0682282397525, nan, nan, nan, nan, 0.179288500251, 0.0630494509069, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.02328988771, nan, nan, 0.109110821015, nan, nan
CCCCCCCN, nan, nan, nan, nan, 0.164266068327, 0.0958766342608, 0.0, 0.0118157481769, 0.0, 0.0710436060755, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.529315066441, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
CC(C)CCN, nan, nan, nan, nan, 0.157824261726, 0.0, 0.0, 0.0177236222653, 0.0092862670397, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.449148995073, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
CNC, nan, nan, nan, nan, 0.0257672264042, 0.100234663091, 0.050271448724, 0.0443090556633, 0.0495267575451, 0.120774130328, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.20480614202, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
O=C1CCCO1, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0285994922885, nan, 0.104291839073, nan, 0.0829051226062, nan, nan, 0.0285045025031, nan, 0.049567997132, nan, nan, 0.0559008273365, nan, 0.404438305195, nan, nan, 0.0422576150612, 0.101567784469, nan, nan, nan, 0.0374831508049, 0.27874764071, nan, 0.0110877573973, nan, nan, 0.056165677477, nan, nan, 0.0775078674229, 0.312525112692, nan, 0.0549953772151, nan, nan, nan, nan, 0.22876066457, 0.00495695718674, nan, nan, 0.028302850851, 0.187843168965, nan, nan, nan, 0.0972284763638, 0.0635744398482, nan, nan, nan, 0.120999591351, 0.250225954349, nan
